fund_id,fund_name,manager_name,manager_status,completeness_score,status,enrichment_state,official_fund_profile_url,manager_logo_url,prospectus_url,factsheet_url,subscription_frequency,subscription_minimum,subscription_fee,redemption_frequency,redemption_fee,custodian,administrator,auditor,sponsor,missing_fields
national_bank_of_kuwait_fund_namaa__nbk_capital_asset_management_egypt,National Bank of Kuwait Fund (Namaa),NBK Capital Asset Management Egypt,known,14.3,LOW,ENRICHED,https://www.nbk.com/egypt/financial-markets/investment/mutual-funds/namaa.html,,,,,,,,,,,,,manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
faisal_islamic_bank_of_egypt_fund__hermes_portfolio_and_fund_management,Faisal Islamic Bank of Egypt Fund,Hermes Portfolio and Fund Management,known,42.9,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/faisal,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_FAISAL_Factsheet_Q2_2026_07fc8d8909.pdf,Weekly,,,Weekly,,,,,,prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
sigma_traded_fund__x,Sigma Traded Fund,,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
mubasher_gold__mubasher_asset_management,Mubasher Gold,Mubasher Asset Management,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
suez_canal_bank_fund_i__hc_securities_investment,Suez Canal Bank Fund I,HC Securities & Investment,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ni_capital_egx_70__ni_capital,NI Capital EGX 70,NI Capital,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
zaldi_star_equity__zaldi_investments,Zaldi Star Equity,Zaldi Investments,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
mid_bank_fund_ii__beltone_asset_management,MID Bank Fund II,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
b_alpha__beltone_asset_management,B-Alpha,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
thndr_gold__x,Thndr Gold,,unknown,0.0,LOW,NOT_STARTED,,,,,,,,,,,,,,manager_name|official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
saib_fund_iii_al_rabeh__hermes_portfolio_and_fund_management,SAIB Fund III (Al Rabeh),Hermes Portfolio and Fund Management,known,28.6,LOW,ENRICHED,https://efgholding.com/en/our-services/mutual-funds/saib,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_SAIB_Factsheet_Q2_2026_7394a0a50f.pdf,,,,,,,,,,prospectus_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
al_baraka_bank_egypt_al_barakat__hermes_portfolio_and_fund_management,Al Baraka Bank Egypt (Al Barakat),Hermes Portfolio and Fund Management,known,42.9,PARTIAL,PARTIAL,https://efgholding.com/en/our-services/mutual-funds/albarakat,https://efgholding.com/uploads/logo_84cc2a9a06.svg,,https://efgholding.com/uploads/EN_ALBARAKAT_Factsheet_Q2_2026_845fa2bbd7.pdf,Daily,,,Daily,,,,,,prospectus_url|subscription_minimum|subscription_fee|redemption_fee|custodian|administrator|auditor|sponsor
saib_yaumy_fund__beltone_asset_management,Saib (Yaumy Fund),Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
attijariwafa_bankfund__beltone_asset_management,Attijariwafa BankFund,Beltone Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.beltoneholding.com/assets/logo-dark.svg,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
ciam_misr_shariah_equity__ci_asset_management,CIAM Misr Shariah Equity,CI Asset Management,known,14.3,LOW,NOT_STARTED,,https://www.cicapital.com/wp-content/uploads/2024/07/CICapitalLogo-En.png,,,,,,,,,,,,official_fund_profile_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
housing_development_bank_al_tameer__arab_african_investment_management,Housing & Development Bank ( AL Tameer),Arab African Investment Management,known,78.6,HIGH,HIGH,https://aaim.com.eg/en/what-we-offer/funds/al-tameer,,https://aaim.com.eg/en/file/401/55f61d8e/Al+Tameer+Prospectus.pdf,https://aaim.com.eg/en/file/502/3d93e336/Tameer+%281%29.pdf,Weekly,,0.5%,Weekly,0.25%,HDBK,Prime Management Services,,HDBK,manager_logo_url|subscription_minimum|auditor
the_charitable_education_fund__ni_capital,The charitable education Fund,NI Capital,known,7.1,LOW,NOT_STARTED,,,,,,,,,,,,,,official_fund_profile_url|manager_logo_url|prospectus_url|factsheet_url|subscription_frequency|subscription_minimum|subscription_fee|redemption_frequency|redemption_fee|custodian|administrator|auditor|sponsor
